N,Impacto,Tiempo
6,1,0.018753300000000004
8,6,0.027046200000000003
10,3,0.029102949999999995
12,12,0.04627654999999999
14,11,0.08661865
16,13,0.07392844999999999
18,17,0.098959
20,17,0.0833447
22,15,0.15466814999999998
24,21,0.1204778
26,28,0.1722606
28,36,0.17541385000000004
30,36,0.25474684999999997
