N,Impacto,Tiempo
6,1,1.0
8,6,6.0
10,3,3.0
12,12,12.0
14,11,11.0
16,13,13.0
18,17,17.0
20,17,17.0
22,15,15.0
24,21,21.0
26,28,28.0
28,36,36.0
30,36,36.0
