N,Impacto,Tiempo
6,1,0.02494985000000001
8,6,0.0199089
10,3,0.032524
12,16,0.0402004
14,12,0.0611635
16,16,0.0772031
18,20,0.11727599999999998
20,17,0.09272405000000002
22,24,0.13862055
24,23,0.1439184
26,35,0.15894165000000002
28,40,0.23103474999999998
30,40,0.26522520000000005
