N,Impacto,Tiempo
6,1.0,3.315843
8,6.0,4.737318500000001
10,3.0,963.97495
12,16.0,10.151918499999997
14,12.0,20.712389999999996
16,16.0,2108.8695000000002
18,20.0,39.658275
20,19.0,59.589659999999995
22,25.0,83.20451
24,24.0,97.39458
26,35.0,115.58415000000002
28,43.0,129.38224999999997
30,41.0,187.32989999999995
