N,Impacto,Tiempo
6,1.0,8.092382500000001
8,6.0,7.002651999999999
10,3.0,29.510489999999997
12,12.0,21.944645
14,11.0,37.437805000000004
16,15.0,46.606469999999995
18,17.0,59.75049000000001
20,18.0,80.692105
22,16.0,140.6999
24,22.0,158.42905000000005
26,30.0,153.3289
28,36.0,207.3228
30,36.0,242.93114999999995
