N,Impacto,Tiempo,porcentajeVecindad,cantItSinMejoras
8,6.0,11.012799999999999,0.1,500
8,6.0,20.8159,0.1,1000
8,6.0,33.973,0.1,1500
8,6.0,43.061,0.1,2000
8,6.0,51.17645,0.1,2500
8,6.0,58.95525,0.1,3000
8,6.0,67.49080000000001,0.1,3500
8,6.0,78.67025,0.1,4000
8,6.0,91.60075,0.1,4500
8,6.0,98.28190000000001,0.1,5000
8,6.0,95.86075,0.1,5500
8,6.0,99.36615,0.1,6000
8,6.0,102.5355,0.1,6500
8,6.0,95.92240000000001,0.1,7000
8,6.0,98.56145000000001,0.1,7500
8,6.0,97.94800000000001,0.1,8000
8,6.0,99.14175,0.1,8500
8,6.0,99.971,0.1,9000
8,6.0,100.31049999999999,0.1,9500
8,6.0,1.4850150000000002,0.2,500
8,6.0,2.816995,0.2,1000
8,6.0,4.30761,0.2,1500
8,6.0,5.87364,0.2,2000
8,6.0,6.964945,0.2,2500
8,6.0,9.199985000000002,0.2,3000
8,6.0,9.715045,0.2,3500
8,6.0,11.4149,0.2,4000
8,6.0,12.372050000000002,0.2,4500
8,6.0,13.9521,0.2,5000
8,6.0,14.600249999999999,0.2,5500
8,6.0,14.0445,0.2,6000
8,6.0,14.642900000000001,0.2,6500
8,6.0,14.678799999999999,0.2,7000
8,6.0,15.3275,0.2,7500
8,6.0,14.21195,0.2,8000
8,6.0,14.65505,0.2,8500
8,6.0,14.2685,0.2,9000
8,6.0,15.03815,0.2,9500
8,6.0,1.484735,0.30000000000000004,500
8,6.0,2.88077,0.30000000000000004,1000
8,6.0,4.3352450000000005,0.30000000000000004,1500
8,6.0,5.913905,0.30000000000000004,2000
8,6.0,8.086985,0.30000000000000004,2500
8,6.0,8.84644,0.30000000000000004,3000
8,6.0,10.6508,0.30000000000000004,3500
8,6.0,11.9351,0.30000000000000004,4000
8,6.0,12.9046,0.30000000000000004,4500
8,6.0,14.493500000000001,0.30000000000000004,5000
8,6.0,14.778500000000001,0.30000000000000004,5500
8,6.0,15.3826,0.30000000000000004,6000
8,6.0,14.92135,0.30000000000000004,6500
8,6.0,14.09095,0.30000000000000004,7000
8,6.0,14.191749999999999,0.30000000000000004,7500
8,6.0,14.6078,0.30000000000000004,8000
8,6.0,14.76425,0.30000000000000004,8500
8,6.0,15.695699999999999,0.30000000000000004,9000
8,6.0,14.5414,0.30000000000000004,9500
8,6.0,1.7801799999999999,0.4,500
8,6.0,3.506825,0.4,1000
8,6.0,5.1325,0.4,1500
8,6.0,7.536405,0.4,2000
8,6.0,8.005220000000001,0.4,2500
8,6.0,9.76886,0.4,3000
8,6.0,11.23115,0.4,3500
8,6.0,12.8344,0.4,4000
8,6.0,14.502749999999999,0.4,4500
8,6.0,15.7202,0.4,5000
8,6.0,16.17075,0.4,5500
8,6.0,16.07815,0.4,6000
8,6.0,16.2619,0.4,6500
8,6.0,15.664100000000001,0.4,7000
8,6.0,16.1038,0.4,7500
8,6.0,16.1562,0.4,8000
8,6.0,16.30585,0.4,8500
8,6.0,16.2176,0.4,9000
8,6.0,15.946749999999998,0.4,9500
8,6.0,2.284495,0.5,500
8,6.0,4.96985,0.5,1000
8,6.0,5.99874,0.5,1500
8,6.0,7.00953,0.5,2000
8,6.0,8.610005,0.5,2500
8,6.0,11.687550000000002,0.5,3000
8,6.0,12.5857,0.5,3500
8,6.0,14.5955,0.5,4000
8,6.0,16.26965,0.5,4500
8,6.0,18.1714,0.5,5000
8,6.0,18.7008,0.5,5500
8,6.0,17.718,0.5,6000
8,6.0,17.707549999999998,0.5,6500
8,6.0,17.71835,0.5,7000
8,6.0,17.616799999999998,0.5,7500
8,6.0,18.48335,0.5,8000
8,6.0,18.905099999999997,0.5,8500
8,6.0,17.9538,0.5,9000
8,6.0,18.85725,0.5,9500
8,6.0,2.026145,0.6,500
8,6.0,3.7017249999999997,0.6,1000
8,6.0,5.01319,0.6,1500
8,6.0,8.101665,0.6,2000
8,6.0,8.88659,0.6,2500
8,6.0,10.8611,0.6,3000
8,6.0,12.57725,0.6,3500
8,6.0,14.6445,0.6,4000
8,6.0,16.4743,0.6,4500
8,6.0,18.279449999999997,0.6,5000
8,6.0,18.061799999999998,0.6,5500
8,6.0,17.4204,0.6,6000
8,6.0,18.8577,0.6,6500
8,6.0,18.02295,0.6,7000
8,6.0,20.310650000000003,0.6,7500
8,6.0,17.5608,0.6,8000
8,6.0,20.5289,0.6,8500
8,6.0,18.76865,0.6,9000
8,6.0,19.667099999999998,0.6,9500
8,6.0,1.996055,0.7,500
8,6.0,4.836195,0.7,1000
8,6.0,5.84433,0.7,1500
8,6.0,8.02477,0.7,2000
8,6.0,10.2856,0.7,2500
8,6.0,11.5336,0.7,3000
8,6.0,13.7031,0.7,3500
8,6.0,15.38115,0.7,4000
8,6.0,17.792,0.7,4500
8,6.0,20.238300000000002,0.7,5000
8,6.0,21.3232,0.7,5500
8,6.0,21.283450000000002,0.7,6000
8,6.0,20.4708,0.7,6500
8,6.0,20.054499999999997,0.7,7000
8,6.0,22.43525,0.7,7500
8,6.0,19.415399999999998,0.7,8000
8,6.0,19.566000000000003,0.7,8500
8,6.0,20.60955,0.7,9000
8,6.0,19.84505,0.7,9500
