N,Impacto,Tiempo,porcentajeVecindad,cantItSinMejoras
8,6.0,3.3055345000000003,0.1,500
8,6.0,3.194737,0.1,1000
8,6.0,6.1160215,0.1,1500
8,6.0,9.599669500000001,0.1,2000
8,6.0,13.125555,0.1,2500
8,6.0,14.914884999999998,0.1,3000
8,6.0,18.379375,0.1,3500
8,6.0,22.016740000000002,0.1,4000
8,6.0,26.65544,0.1,4500
8,6.0,31.669270000000004,0.1,5000
8,6.0,36.79970000000001,0.1,5500
8,6.0,41.49263500000001,0.1,6000
8,6.0,45.88440000000001,0.1,6500
8,6.0,51.619465000000005,0.1,7000
8,6.0,57.74838,0.1,7500
8,6.0,63.570119999999996,0.1,8000
8,6.0,70.80996999999999,0.1,8500
8,6.0,77.24160499999999,0.1,9000
8,6.0,83.38225500000001,0.1,9500
8,6.0,5.272841999999999,0.2,500
8,6.0,5.4090125,0.2,1000
8,6.0,9.265255999999999,0.2,1500
8,6.0,14.098634999999998,0.2,2000
8,6.0,19.809580000000004,0.2,2500
8,6.0,25.31258,0.2,3000
8,6.0,30.458190000000002,0.2,3500
8,6.0,37.169529999999995,0.2,4000
8,6.0,44.04668499999999,0.2,4500
8,6.0,50.790980000000005,0.2,5000
8,6.0,58.76163500000001,0.2,5500
8,6.0,66.202575,0.2,6000
8,6.0,73.86997,0.2,6500
8,6.0,82.48339,0.2,7000
8,6.0,92.223945,0.2,7500
8,6.0,100.60865499999998,0.2,8000
8,6.0,111.55704999999998,0.2,8500
8,6.0,121.99465000000001,0.2,9000
8,6.0,136.2328,0.2,9500
8,6.0,9.536622000000001,0.30000000000000004,500
8,6.0,9.766177000000003,0.30000000000000004,1000
8,6.0,18.67248,0.30000000000000004,1500
8,6.0,25.503245,0.30000000000000004,2000
8,6.0,32.719105,0.30000000000000004,2500
8,6.0,39.98798000000001,0.30000000000000004,3000
8,6.0,48.52418,0.30000000000000004,3500
8,6.0,58.483924999999985,0.30000000000000004,4000
8,6.0,69.719425,0.30000000000000004,4500
8,6.0,80.78859999999997,0.30000000000000004,5000
8,6.0,94.44776,0.30000000000000004,5500
8,6.0,106.73380000000002,0.30000000000000004,6000
8,6.0,122.12544999999997,0.30000000000000004,6500
8,6.0,135.06504999999999,0.30000000000000004,7000
8,6.0,151.68249999999998,0.30000000000000004,7500
8,6.0,171.9493,0.30000000000000004,8000
8,6.0,188.12980000000002,0.30000000000000004,8500
8,6.0,206.55194999999998,0.30000000000000004,9000
8,6.0,226.45459999999997,0.30000000000000004,9500
8,6.0,11.756730000000001,0.4,500
8,6.0,11.940755,0.4,1000
8,6.0,19.787555,0.4,1500
8,6.0,27.617650000000005,0.4,2000
8,6.0,36.580535,0.4,2500
8,6.0,45.74717000000001,0.4,3000
8,6.0,55.158794999999984,0.4,3500
8,6.0,64.75896499999999,0.4,4000
8,6.0,77.74225500000001,0.4,4500
8,6.0,88.41322499999998,0.4,5000
8,6.0,102.7116,0.4,5500
8,6.0,118.74185,0.4,6000
8,6.0,136.67835,0.4,6500
8,6.0,156.65275,0.4,7000
8,6.0,177.27000000000004,0.4,7500
8,6.0,198.45530000000002,0.4,8000
8,6.0,220.68475000000004,0.4,8500
8,6.0,240.79845,0.4,9000
8,6.0,264.82525,0.4,9500
8,6.0,16.055860000000003,0.5,500
8,6.0,15.956700000000001,0.5,1000
8,6.0,26.411190000000005,0.5,1500
8,6.0,35.660664999999995,0.5,2000
8,6.0,46.289615,0.5,2500
8,6.0,59.09327499999999,0.5,3000
8,6.0,74.21839500000002,0.5,3500
8,6.0,88.84169,0.5,4000
8,6.0,105.57135000000001,0.5,4500
8,6.0,122.41100000000003,0.5,5000
8,6.0,140.49210000000002,0.5,5500
8,6.0,161.6554,0.5,6000
8,6.0,186.11659999999998,0.5,6500
8,6.0,208.26095000000004,0.5,7000
8,6.0,225.01384999999996,0.5,7500
8,6.0,237.55745000000002,0.5,8000
8,6.0,252.15710000000004,0.5,8500
8,6.0,282.84119999999996,0.5,9000
8,6.0,314.03515,0.5,9500
8,6.0,18.43306,0.6,500
8,6.0,18.03824,0.6,1000
8,6.0,29.355440000000005,0.6,1500
8,6.0,40.583365,0.6,2000
8,6.0,53.431135000000005,0.6,2500
8,6.0,67.96858500000002,0.6,3000
8,6.0,82.67980500000002,0.6,3500
8,6.0,96.989255,0.6,4000
8,6.0,114.65205,0.6,4500
8,6.0,135.2252,0.6,5000
8,6.0,160.74480000000003,0.6,5500
8,6.0,184.69350000000003,0.6,6000
8,6.0,212.87015000000002,0.6,6500
8,6.0,237.82704999999996,0.6,7000
8,6.0,263.1934499999999,0.6,7500
8,6.0,289.35419999999993,0.6,8000
8,6.0,313.67029999999994,0.6,8500
8,6.0,340.52160000000003,0.6,9000
8,6.0,359.92565,0.6,9500
8,6.0,20.533959999999997,0.7,500
8,6.0,20.586875,0.7,1000
8,6.0,34.41438999999999,0.7,1500
8,6.0,45.67322,0.7,2000
8,6.0,59.88580499999999,0.7,2500
8,6.0,74.180645,0.7,3000
8,6.0,92.28158999999997,0.7,3500
8,6.0,111.29260000000002,0.7,4000
8,6.0,133.27210000000002,0.7,4500
8,6.0,157.2312,0.7,5000
8,6.0,183.17465000000004,0.7,5500
8,6.0,207.71124999999998,0.7,6000
8,6.0,236.49345,0.7,6500
8,6.0,266.5667000000001,0.7,7000
8,6.0,292.33595,0.7,7500
8,6.0,313.26135000000005,0.7,8000
8,6.0,350.7704,0.7,8500
8,6.0,390.84325,0.7,9000
8,6.0,427.1191,0.7,9500
8,6.0,24.856065,0.7999999999999999,500
8,6.0,24.738985000000003,0.7999999999999999,1000
8,6.0,43.185579999999995,0.7999999999999999,1500
8,6.0,57.652,0.7999999999999999,2000
8,6.0,75.14320000000001,0.7999999999999999,2500
8,6.0,94.86645,0.7999999999999999,3000
8,6.0,117.38700000000003,0.7999999999999999,3500
8,6.0,138.4196,0.7999999999999999,4000
8,6.0,157.69040000000004,0.7999999999999999,4500
8,6.0,179.8844,0.7999999999999999,5000
8,6.0,203.02314999999996,0.7999999999999999,5500
8,6.0,235.1207,0.7999999999999999,6000
8,6.0,272.35915,0.7999999999999999,6500
8,6.0,306.31555000000003,0.7999999999999999,7000
8,6.0,341.0709499999999,0.7999999999999999,7500
8,6.0,385.6952,0.7999999999999999,8000
8,6.0,426.60195000000004,0.7999999999999999,8500
8,6.0,470.86975,0.7999999999999999,9000
8,6.0,511.9111,0.7999999999999999,9500
16,13.0,16.790399999999998,0.1,500
16,13.0,16.802955000000004,0.1,1000
16,18.0,68.72433999999998,0.1,1500
16,18.0,81.610555,0.1,2000
16,18.0,96.668815,0.1,2500
16,19.0,210.4362,0.1,3000
16,19.0,227.49019999999996,0.1,3500
16,19.0,249.48744999999994,0.1,4000
16,19.0,266.691,0.1,4500
16,19.0,286.16825000000006,0.1,5000
16,19.0,305.03310000000005,0.1,5500
16,19.0,324.83995000000004,0.1,6000
16,19.0,345.1598,0.1,6500
16,19.0,368.09125000000006,0.1,7000
16,19.0,391.60820000000007,0.1,7500
16,19.0,408.8757,0.1,8000
16,19.0,435.8818,0.1,8500
16,19.0,456.57405,0.1,9000
16,19.0,479.3438,0.1,9500
16,13.0,31.87229999999999,0.2,500
16,13.0,31.724309999999996,0.2,1000
16,20.0,182.40025,0.2,1500
16,20.0,207.62704999999997,0.2,2000
16,20.0,235.66109999999998,0.2,2500
16,20.0,264.85535000000004,0.2,3000
16,20.0,292.03045,0.2,3500
16,20.0,323.8855,0.2,4000
16,20.0,360.84145,0.2,4500
16,20.0,386.57644999999997,0.2,5000
16,20.0,417.59004999999996,0.2,5500
16,20.0,460.69984999999997,0.2,6000
16,20.0,496.2268000000001,0.2,6500
16,20.0,528.3668,0.2,7000
16,20.0,558.9124499999999,0.2,7500
16,20.0,593.0757499999999,0.2,8000
16,20.0,623.0707999999998,0.2,8500
16,20.0,652.5218000000001,0.2,9000
16,20.0,690.2764,0.2,9500
16,13.0,47.680789999999995,0.30000000000000004,500
16,13.0,47.537885,0.30000000000000004,1000
16,20.0,236.29005000000006,0.30000000000000004,1500
16,20.0,266.90155,0.30000000000000004,2000
16,20.0,299.84630000000004,0.30000000000000004,2500
16,20.0,331.77025,0.30000000000000004,3000
16,20.0,362.66954999999996,0.30000000000000004,3500
16,20.0,393.77725,0.30000000000000004,4000
16,20.0,426.13784999999996,0.30000000000000004,4500
16,20.0,459.0045999999999,0.30000000000000004,5000
16,20.0,490.1982,0.30000000000000004,5500
16,20.0,524.1486499999999,0.30000000000000004,6000
16,20.0,550.7753500000001,0.30000000000000004,6500
16,20.0,588.2924999999999,0.30000000000000004,7000
16,20.0,618.6113999999998,0.30000000000000004,7500
16,20.0,653.0042000000001,0.30000000000000004,8000
16,20.0,684.6260500000001,0.30000000000000004,8500
16,20.0,717.3784499999999,0.30000000000000004,9000
16,20.0,754.4390999999999,0.30000000000000004,9500
16,13.0,64.98895,0.4,500
16,13.0,64.36594000000001,0.4,1000
16,19.0,206.28629999999998,0.4,1500
16,19.0,248.78179999999998,0.4,2000
16,19.0,294.2648500000001,0.4,2500
16,19.0,342.03599999999994,0.4,3000
16,19.0,392.37405000000007,0.4,3500
16,19.0,447.3383,0.4,4000
16,19.0,500.71620000000013,0.4,4500
16,19.0,555.1311499999999,0.4,5000
16,19.0,614.9493499999999,0.4,5500
16,19.0,670.3624000000002,0.4,6000
16,19.0,738.1455,0.4,6500
16,19.0,793.13735,0.4,7000
16,19.0,861.7262999999999,0.4,7500
16,19.0,932.3753499999999,0.4,8000
16,19.0,998.8865500000002,0.4,8500
16,19.0,1073.86,0.4,9000
16,19.0,1141.0195,0.4,9500
16,13.0,80.95712999999998,0.5,500
16,13.0,83.64186,0.5,1000
16,20.0,401.70565,0.5,1500
16,20.0,454.3638000000001,0.5,2000
16,20.0,506.64939999999996,0.5,2500
16,20.0,562.08125,0.5,3000
16,20.0,618.1280500000001,0.5,3500
16,20.0,674.6446000000001,0.5,4000
16,20.0,726.55405,0.5,4500
16,20.0,782.1536,0.5,5000
16,20.0,838.9929500000001,0.5,5500
16,20.0,890.3718499999998,0.5,6000
16,20.0,976.3033000000001,0.5,6500
16,20.0,998.6872999999998,0.5,7000
16,20.0,1060.5385,0.5,7500
16,20.0,1110.7910000000002,0.5,8000
16,20.0,1170.2514999999999,0.5,8500
16,20.0,1223.8305000000003,0.5,9000
16,20.0,1284.3319999999999,0.5,9500
16,13.0,97.45912,0.6,500
16,13.0,97.85511500000001,0.6,1000
16,19.0,284.12119999999993,0.6,1500
16,19.0,341.72905,0.6,2000
16,19.0,400.07005,0.6,2500
16,19.0,458.34495000000004,0.6,3000
16,19.0,520.6839,0.6,3500
16,19.0,582.67725,0.6,4000
16,19.0,643.9402499999999,0.6,4500
16,19.0,704.0002,0.6,5000
16,19.0,768.30545,0.6,5500
16,19.0,835.0318000000001,0.6,6000
16,19.0,896.75695,0.6,6500
16,19.0,963.5586999999999,0.6,7000
16,19.0,1031.3725,0.6,7500
16,19.0,1101.9785,0.6,8000
16,19.0,1171.8079999999998,0.6,8500
16,19.0,1236.4389999999999,0.6,9000
16,19.0,1311.6760000000002,0.6,9500
16,13.0,116.03785,0.7,500
16,13.0,115.48319999999998,0.7,1000
16,19.0,369.7917,0.7,1500
16,19.0,446.40185,0.7,2000
16,19.0,527.9127000000001,0.7,2500
16,19.0,611.5136500000001,0.7,3000
16,19.0,702.1523000000001,0.7,3500
16,19.0,797.4404,0.7,4000
16,19.0,892.2777,0.7,4500
16,19.0,996.2675000000002,0.7,5000
16,19.0,1092.5085000000001,0.7,5500
16,19.0,1205.742,0.7,6000
16,19.0,1313.9384999999997,0.7,6500
16,19.0,1428.3785,0.7,7000
16,19.0,1554.6560000000002,0.7,7500
16,19.0,1666.9504999999997,0.7,8000
