N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
21,11.0,515.9698,media,alta,GmediaHalta
21,0.0,757.2917,alta,baja,GaltaHbaja
21,0.0,884.3104,alta,media,GaltaHmedia
21,0.0,1024.216,alta,alta,GaltaHalta
22,0.0,98.19035999999998,baja,baja,GbajaHbaja
22,17.0,126.49849999999999,baja,media,GbajaHmedia
22,57.0,154.40730000000002,baja,alta,GbajaHalta
22,0.0,361.207,media,baja,GmediaHbaja
22,0.0,425.8963,media,media,GmediaHmedia
22,12.0,504.48130000000003,media,alta,GmediaHalta
22,0.0,845.6196,alta,baja,GaltaHbaja
22,0.0,973.1494,alta,media,GaltaHmedia
22,0.0,1138.044,alta,alta,GaltaHalta
23,0.0,92.66175000000001,baja,baja,GbajaHbaja
23,23.0,119.51880000000001,baja,media,GbajaHmedia
23,66.0,143.878,baja,alta,GbajaHalta
23,0.0,434.7099,media,baja,GmediaHbaja
23,0.0,530.3999,media,media,GmediaHmedia
23,10.0,629.1709000000001,media,alta,GmediaHalta
23,0.0,788.5018,alta,baja,GaltaHbaja
23,0.0,928.9442000000001,alta,media,GaltaHmedia
23,0.0,1090.93,alta,alta,GaltaHalta
24,0.0,146.18939999999998,baja,baja,GbajaHbaja
24,23.0,192.8123,baja,media,GbajaHmedia
24,65.0,231.43260000000004,baja,alta,GbajaHalta
24,0.0,583.3437,media,baja,GmediaHbaja
24,0.0,714.0257999999999,media,media,GmediaHmedia
24,9.0,846.3463000000002,media,alta,GmediaHalta
24,0.0,1034.8700000000001,alta,baja,GaltaHbaja
24,0.0,1225.283,alta,media,GaltaHmedia
24,0.0,1435.288,alta,alta,GaltaHalta
25,0.0,137.49509999999998,baja,baja,GbajaHbaja
25,26.0,179.20450000000002,baja,media,GbajaHmedia
25,75.0,213.01259999999996,baja,alta,GbajaHalta
25,0.0,598.3574000000001,media,baja,GmediaHbaja
25,0.0,722.7728999999999,media,media,GmediaHmedia
25,12.0,845.2332,media,alta,GmediaHalta
25,0.0,1162.025,alta,baja,GaltaHbaja
25,0.0,1373.8170000000002,alta,media,GaltaHmedia
25,0.0,1628.614,alta,alta,GaltaHalta
26,0.0,132.6032,baja,baja,GbajaHbaja
26,30.0,177.711,baja,media,GbajaHmedia
26,85.0,199.1875,baja,alta,GbajaHalta
26,0.0,651.381,media,baja,GmediaHbaja
26,0.0,831.6842999999999,media,media,GmediaHmedia
26,12.0,917.4792,media,alta,GmediaHalta
26,0.0,1281.3070000000002,alta,baja,GaltaHbaja
26,0.0,1539.684,alta,media,GaltaHmedia
26,0.0,1747.209,alta,alta,GaltaHalta
27,0.0,181.53079999999997,baja,baja,GbajaHbaja
27,30.0,250.20109999999994,baja,media,GbajaHmedia
27,83.0,296.566,baja,alta,GbajaHalta
27,0.0,777.9610000000001,media,baja,GmediaHbaja
27,0.0,985.9041000000001,media,media,GmediaHmedia
27,12.0,1141.831,media,alta,GmediaHalta
27,0.0,1566.5559999999998,alta,baja,GaltaHbaja
27,0.0,1885.239,alta,media,GaltaHmedia
27,0.0,2150.142,alta,alta,GaltaHalta
28,0.0,176.52900000000002,baja,baja,GbajaHbaja
28,36.0,232.7759,baja,media,GbajaHmedia
28,95.0,272.8692,baja,alta,GbajaHalta
28,0.0,827.2227999999999,media,baja,GmediaHbaja
28,0.0,1007.3969999999999,media,media,GmediaHmedia
28,17.0,1161.239,media,alta,GmediaHalta
