N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
21,57.0,0.120035,baja,alta,GbajaHalta
21,0.0,0.1741091,media,baja,GmediaHbaja
21,0.0,0.28467790000000004,media,media,GmediaHmedia
21,11.0,0.3083945,media,alta,GmediaHalta
21,0.0,0.3158698,alta,baja,GaltaHbaja
21,0.0,0.4468999,alta,media,GaltaHmedia
21,0.0,0.6272558,alta,alta,GaltaHalta
22,0.0,0.111679,baja,baja,GbajaHbaja
22,17.0,0.1305811,baja,media,GbajaHmedia
22,57.0,0.1552167,baja,alta,GbajaHalta
22,0.0,0.2351087,media,baja,GmediaHbaja
22,0.0,0.3149053,media,media,GmediaHmedia
22,12.0,0.3802143,media,alta,GmediaHalta
22,0.0,0.33281959999999994,alta,baja,GaltaHbaja
22,0.0,0.5238992,alta,media,GaltaHmedia
22,0.0,0.6712116000000001,alta,alta,GaltaHalta
23,0.0,0.10797409999999999,baja,baja,GbajaHbaja
23,23.0,0.14524890000000001,baja,media,GbajaHmedia
23,66.0,0.16165999999999997,baja,alta,GbajaHalta
23,0.0,0.2186055,media,baja,GmediaHbaja
23,0.0,0.35168330000000003,media,media,GmediaHmedia
23,10.0,0.4057244000000001,media,alta,GmediaHalta
23,0.0,0.4020460999999999,alta,baja,GaltaHbaja
23,0.0,0.5657769,alta,media,GaltaHmedia
23,0.0,0.7542779000000001,alta,alta,GaltaHalta
24,0.0,0.1280967,baja,baja,GbajaHbaja
24,23.0,0.1721592,baja,media,GbajaHmedia
24,65.0,0.19362430000000003,baja,alta,GbajaHalta
24,0.0,0.2552428,media,baja,GmediaHbaja
24,0.0,0.4711225,media,media,GmediaHmedia
24,9.0,0.5380179999999999,media,alta,GmediaHalta
24,0.0,0.44034770000000006,alta,baja,GaltaHbaja
24,0.0,0.6726545999999999,alta,media,GaltaHmedia
24,0.0,0.8686719999999999,alta,alta,GaltaHalta
25,0.0,0.135097,baja,baja,GbajaHbaja
25,26.0,0.17606470000000002,baja,media,GbajaHmedia
25,75.0,0.2155961,baja,alta,GbajaHalta
25,0.0,0.31703790000000004,media,baja,GmediaHbaja
25,0.0,0.5062993,media,media,GmediaHmedia
25,12.0,0.6045369999999999,media,alta,GmediaHalta
25,0.0,0.46827240000000003,alta,baja,GaltaHbaja
25,0.0,0.7929701,alta,media,GaltaHmedia
25,0.0,0.9924923000000001,alta,alta,GaltaHalta
26,0.0,0.1516989,baja,baja,GbajaHbaja
26,30.0,0.20728530000000003,baja,media,GbajaHmedia
26,85.0,0.21556570000000003,baja,alta,GbajaHalta
26,0.0,0.36533950000000004,media,baja,GmediaHbaja
26,0.0,0.5402381,media,media,GmediaHmedia
26,12.0,0.6137162,media,alta,GmediaHalta
26,0.0,0.5363179,alta,baja,GaltaHbaja
26,0.0,0.8669354,alta,media,GaltaHmedia
26,0.0,1.020356,alta,alta,GaltaHalta
27,0.0,0.1682991,baja,baja,GbajaHbaja
27,30.0,0.20595440000000004,baja,media,GbajaHmedia
27,83.0,0.24049139999999997,baja,alta,GbajaHalta
27,0.0,0.349538,media,baja,GmediaHbaja
27,0.0,0.6102122999999999,media,media,GmediaHmedia
27,12.0,0.6782448,media,alta,GmediaHalta
27,0.0,0.6144691000000001,alta,baja,GaltaHbaja
27,0.0,0.9088103000000002,alta,media,GaltaHmedia
27,0.0,1.206161,alta,alta,GaltaHalta
28,0.0,0.1940356,baja,baja,GbajaHbaja
28,36.0,0.2828581,baja,media,GbajaHmedia
28,95.0,0.2966353,baja,alta,GbajaHalta
28,0.0,0.44116220000000006,media,baja,GmediaHbaja
28,0.0,0.6930924,media,media,GmediaHmedia
28,17.0,0.6984411999999999,media,alta,GmediaHalta
28,0.0,0.6685180999999999,alta,baja,GaltaHbaja
28,0.0,0.9968158,alta,media,GaltaHmedia
28,0.0,1.23824,alta,alta,GaltaHalta
29,0.0,0.208247,baja,baja,GbajaHbaja
29,30.0,0.28281900000000004,baja,media,GbajaHmedia
29,93.0,0.34236839999999996,baja,alta,GbajaHalta
29,0.0,0.5088532,media,baja,GmediaHbaja
29,0.0,0.8168325,media,media,GmediaHmedia
29,17.0,0.9962534999999999,media,alta,GmediaHalta
29,0.0,0.7274822999999999,alta,baja,GaltaHbaja
29,0.0,1.1382329999999998,alta,media,GaltaHmedia
29,0.0,1.530221,alta,alta,GaltaHalta
30,0.0,0.20948439999999996,baja,baja,GbajaHbaja
30,38.0,0.3061568,baja,media,GbajaHmedia
30,107.0,0.3107379,baja,alta,GbajaHalta
30,0.0,0.5186903999999999,media,baja,GmediaHbaja
30,0.0,0.9111001,media,media,GmediaHmedia
30,17.0,0.9266610999999998,media,alta,GmediaHalta
30,0.0,0.7527362,alta,baja,GaltaHbaja
30,0.0,1.1784130000000002,alta,media,GaltaHmedia
30,0.0,1.557234,alta,alta,GaltaHalta
31,0.0,0.2753046,baja,baja,GbajaHbaja
31,47.0,0.29821090000000006,baja,media,GbajaHmedia
31,122.0,0.3533067,baja,alta,GbajaHalta
31,0.0,0.6134172999999998,media,baja,GmediaHbaja
31,0.0,0.9934367999999999,media,media,GmediaHmedia
31,17.0,1.0226149999999998,media,alta,GmediaHalta
31,0.0,0.8627659000000001,alta,baja,GaltaHbaja
31,0.0,1.396824,alta,media,GaltaHmedia
31,0.0,1.733089,alta,alta,GaltaHalta
32,0.0,0.2854348,baja,baja,GbajaHbaja
32,41.0,0.3543924,baja,media,GbajaHmedia
32,122.0,0.3869895,baja,alta,GbajaHalta
32,0.0,0.577443,media,baja,GmediaHbaja
32,0.0,0.9429475999999999,media,media,GmediaHmedia
32,23.0,1.0692530000000002,media,alta,GmediaHalta
32,0.0,0.9197349000000001,alta,baja,GaltaHbaja
32,0.0,1.4122059999999999,alta,media,GaltaHmedia
32,0.0,1.9243999999999999,alta,alta,GaltaHalta
33,0.0,0.27195980000000003,baja,baja,GbajaHbaja
33,47.0,0.3638975,baja,media,GbajaHmedia
33,138.0,0.4288863,baja,alta,GbajaHalta
33,0.0,0.6490704999999999,media,baja,GmediaHbaja
33,0.0,1.0383722,media,media,GmediaHmedia
33,23.0,1.206016,media,alta,GmediaHalta
33,0.0,1.1368136999999998,alta,baja,GaltaHbaja
33,0.0,1.653621,alta,media,GaltaHmedia
