N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
10,0.0,284.4599,baja,baja,GbajaHbaja
10,7.0,334.3208,baja,media,GbajaHmedia
10,15.0,287.8192,baja,alta,GbajaHalta
10,0.0,290.8523,media,baja,GmediaHbaja
10,0.0,285.479,media,media,GmediaHmedia
10,3.0,384.0484,media,alta,GmediaHalta
10,0.0,300.07050000000004,alta,baja,GaltaHbaja
10,0.0,287.3026,alta,media,GaltaHmedia
10,0.0,291.6665,alta,alta,GaltaHalta
11,0.0,340.79499999999996,baja,baja,GbajaHbaja
11,9.0,413.85959999999994,baja,media,GbajaHmedia
11,15.0,193.8134,baja,alta,GbajaHalta
11,0.0,349.0702,media,baja,GmediaHbaja
11,0.0,359.175,media,media,GmediaHmedia
11,5.0,390.34239999999994,media,alta,GmediaHalta
11,0.0,354.7151,alta,baja,GaltaHbaja
11,0.0,367.6678,alta,media,GaltaHmedia
11,0.0,377.0446,alta,alta,GaltaHalta
12,0.0,417.684,baja,baja,GbajaHbaja
12,7.0,553.8931,baja,media,GbajaHmedia
12,20.0,438.2521999999999,baja,alta,GbajaHalta
12,0.0,426.1875999999999,media,baja,GmediaHbaja
12,0.0,442.28650000000005,media,media,GmediaHmedia
12,5.0,504.83320000000003,media,alta,GmediaHalta
12,0.0,436.7914999999999,alta,baja,GaltaHbaja
12,0.0,453.72029999999995,alta,media,GaltaHmedia
12,0.0,462.9941,alta,alta,GaltaHalta
13,0.0,492.39160000000004,baja,baja,GbajaHbaja
13,11.0,608.3859,baja,media,GbajaHmedia
13,20.0,291.2049,baja,alta,GbajaHalta
13,0.0,511.9605,media,baja,GmediaHbaja
13,0.0,531.329,media,media,GmediaHmedia
13,4.0,645.4187999999999,media,alta,GmediaHalta
13,0.0,523.5516,alta,baja,GaltaHbaja
13,0.0,542.0016999999999,alta,media,GaltaHmedia
13,0.0,555.8830999999999,alta,alta,GaltaHalta
14,0.0,567.613,baja,baja,GbajaHbaja
14,10.0,464.5022,baja,media,GbajaHmedia
14,24.0,368.3393,baja,alta,GbajaHalta
14,0.0,590.5284,media,baja,GmediaHbaja
14,0.0,613.1189,media,media,GmediaHmedia
14,4.0,493.8235999999999,media,alta,GmediaHalta
14,0.0,616.3245000000001,alta,baja,GaltaHbaja
14,0.0,635.4931999999999,alta,media,GaltaHmedia
14,0.0,652.3559,alta,alta,GaltaHalta
15,0.0,673.2785,baja,baja,GbajaHbaja
15,12.0,916.6850000000001,baja,media,GbajaHmedia
15,31.0,695.3213000000001,baja,alta,GbajaHalta
15,0.0,689.7567999999999,media,baja,GmediaHbaja
15,0.0,719.1270999999999,media,media,GmediaHmedia
15,7.0,819.9064000000001,media,alta,GmediaHalta
15,0.0,723.8235,alta,baja,GaltaHbaja
15,0.0,749.3316,alta,media,GaltaHmedia
15,0.0,780.833,alta,alta,GaltaHalta
16,0.0,782.91,baja,baja,GbajaHbaja
16,12.0,603.8960000000001,baja,media,GbajaHmedia
16,39.0,791.5373999999999,baja,alta,GbajaHalta
16,0.0,814.5729000000001,media,baja,GmediaHbaja
16,0.0,852.2837000000002,media,media,GmediaHmedia
16,7.0,1031.5349999999999,media,alta,GmediaHalta
16,0.0,850.5805,alta,baja,GaltaHbaja
16,0.0,860.3832999999998,alta,media,GaltaHmedia
16,0.0,876.4013000000001,alta,alta,GaltaHalta
17,0.0,847.8118999999999,baja,baja,GbajaHbaja
17,16.0,1154.5890000000002,baja,media,GbajaHmedia
17,30.0,560.4852,baja,alta,GbajaHalta
17,0.0,889.3036,media,baja,GmediaHbaja
17,0.0,944.4349999999998,media,media,GmediaHmedia
17,7.0,1182.7009999999998,media,alta,GmediaHalta
17,0.0,921.8099,alta,baja,GaltaHbaja
17,0.0,978.146,alta,media,GaltaHmedia
17,0.0,1008.4339999999999,alta,alta,GaltaHalta
18,0.0,977.6622,baja,baja,GbajaHbaja
18,14.0,771.5477000000002,baja,media,GbajaHmedia
18,46.0,1019.378,baja,alta,GbajaHalta
18,0.0,1022.7459999999999,media,baja,GmediaHbaja
18,0.0,1083.866,media,media,GmediaHmedia
18,8.0,774.7090000000001,media,alta,GmediaHalta
18,0.0,1067.7949999999998,alta,baja,GaltaHbaja
18,0.0,1126.562,alta,media,GaltaHmedia
18,0.0,1168.727,alta,alta,GaltaHalta
19,0.0,1110.4479999999999,baja,baja,GbajaHbaja
19,16.0,925.2497000000001,baja,media,GbajaHmedia
19,46.0,760.2559,baja,alta,GbajaHalta
19,0.0,1154.2279999999998,media,baja,GmediaHbaja
19,0.0,1220.019,media,media,GmediaHmedia
19,8.0,927.1011999999998,media,alta,GmediaHalta
19,0.0,1229.289,alta,baja,GaltaHbaja
19,0.0,1279.4370000000001,alta,media,GaltaHmedia
19,0.0,1337.7189999999998,alta,alta,GaltaHalta
20,0.0,1264.15,baja,baja,GbajaHbaja
20,17.0,1017.8669999999998,baja,media,GbajaHmedia
20,56.0,1537.215,baja,alta,GbajaHalta
20,0.0,1314.3799999999999,media,baja,GmediaHbaja
20,0.0,1391.7489999999998,media,media,GmediaHmedia
20,11.0,1816.718,media,alta,GmediaHalta
20,0.0,1383.741,alta,baja,GaltaHbaja
20,0.0,1465.5369999999998,alta,media,GaltaHmedia
20,0.0,1536.179,alta,alta,GaltaHalta
21,0.0,1402.6290000000001,baja,baja,GbajaHbaja
21,22.0,1132.3759999999997,baja,media,GbajaHmedia
21,67.0,1634.991,baja,alta,GbajaHalta
21,0.0,1465.492,media,baja,GmediaHbaja
21,0.0,1549.15,media,media,GmediaHmedia
21,11.0,1288.141,media,alta,GmediaHalta
21,0.0,1573.328,alta,baja,GaltaHbaja
21,0.0,1659.014,alta,media,GaltaHmedia
21,0.0,1761.527,alta,alta,GaltaHalta
22,0.0,1535.76,baja,baja,GbajaHbaja
22,23.0,2136.2709999999997,baja,media,GbajaHmedia
22,57.0,1071.984,baja,alta,GbajaHalta
22,0.0,1627.216,media,baja,GmediaHbaja
22,0.0,1725.8740000000003,media,media,GmediaHmedia
22,16.0,2100.5660000000003,media,alta,GmediaHalta
22,0.0,1740.6779999999999,alta,baja,GaltaHbaja
22,0.0,1835.627,alta,media,GaltaHmedia
22,0.0,1934.1239999999998,alta,alta,GaltaHalta
23,0.0,1723.3039999999996,baja,baja,GbajaHbaja
23,29.0,2375.201,baja,media,GbajaHmedia
23,77.0,2013.821,baja,alta,GbajaHalta
23,0.0,1850.739,media,baja,GmediaHbaja
23,0.0,1977.4699999999998,media,media,GmediaHmedia
23,14.0,2743.5090000000005,media,alta,GmediaHalta
23,0.0,1937.5549999999998,alta,baja,GaltaHbaja
23,0.0,2063.7519999999995,alta,media,GaltaHmedia
23,0.0,2206.3,alta,alta,GaltaHalta
24,0.0,1906.584,baja,baja,GbajaHbaja
24,29.0,2697.8419999999996,baja,media,GbajaHmedia
24,76.0,2208.126,baja,alta,GbajaHalta
24,0.0,2049.096,media,baja,GmediaHbaja
24,0.0,2195.221,media,media,GmediaHmedia
24,13.0,3047.3780000000006,media,alta,GmediaHalta
24,0.0,2178.7519999999995,alta,baja,GaltaHbaja
24,0.0,2318.764,alta,media,GaltaHmedia
24,0.0,2481.9049999999997,alta,alta,GaltaHalta
25,0.0,2123.109,baja,baja,GbajaHbaja
25,26.0,1843.676,baja,media,GbajaHmedia
25,87.0,2562.849,baja,alta,GbajaHalta
25,0.0,2256.907,media,baja,GmediaHbaja
